1,1,693.0,364.0,211.0,110.0,1.000000
1,2,582.0,493.0,122.0,188.0,1.000000
1,3,881.0,432.0,112.0,205.0,1.000000
1,4,1068.0,609.0,216.0,103.0,1.000000
1,5,652.0,660.0,220.0,105.0,1.000000
1,6,818.0,680.0,163.0,100.0,1.000000
1,7,1026.0,666.0,104.0,222.0,1.000000
1,8,743.0,797.0,202.0,82.0,1.000000
1,9,840.0,849.0,204.0,70.0,1.000000
1,10,640.0,848.0,112.0,203.0,1.000000
2,1,690.0,367.0,211.0,110.0,1.000000
2,2,581.0,494.0,122.0,188.0,1.000000
2,3,875.0,424.0,113.0,211.0,1.000000
2,4,1066.0,607.0,214.0,112.0,1.000000
2,5,658.0,660.0,220.0,105.0,1.000000
2,6,817.0,677.0,163.0,100.0,1.000000
2,7,1031.0,664.0,93.0,220.0,1.000000
2,8,736.0,803.0,205.0,78.0,1.000000
2,9,830.0,849.0,204.0,70.0,1.000000
2,10,637.0,845.0,112.0,203.0,1.000000
3,1,667.0,351.0,211.0,110.0,1.000000
3,2,576.0,492.0,122.0,188.0,1.000000
3,3,872.0,434.0,113.0,211.0,1.000000
3,4,1066.0,610.0,214.0,112.0,1.000000
3,5,647.0,658.0,220.0,105.0,1.000000
3,6,817.0,676.0,163.0,100.0,1.000000
3,7,1028.0,669.0,93.0,220.0,1.000000
3,8,746.0,803.0,205.0,78.0,1.000000
3,9,823.0,845.0,214.0,74.0,1.000000
3,10,636.0,842.0,112.0,203.0,1.000000
4,1,661.0,347.0,211.0,110.0,1.000000
4,2,570.0,493.0,122.0,188.0,1.000000
4,3,873.0,434.0,113.0,211.0,1.000000
4,4,1066.0,608.0,214.0,112.0,1.000000
4,5,647.0,665.0,220.0,92.0,1.000000
4,6,817.0,674.0,163.0,100.0,1.000000
4,7,1028.0,670.0,93.0,220.0,1.000000
4,8,745.0,801.0,205.0,78.0,1.000000
4,9,823.0,844.0,214.0,74.0,1.000000
4,10,634.0,843.0,112.0,203.0,1.000000
5,1,663.0,343.0,211.0,110.0,1.000000
5,2,572.0,488.0,122.0,188.0,1.000000
5,3,872.0,436.0,113.0,211.0,1.000000
5,4,1064.0,608.0,214.0,112.0,1.000000
5,5,668.0,658.0,220.0,105.0,1.000000
5,6,819.0,672.0,163.0,70.0,1.000000
5,7,1028.0,671.0,93.0,220.0,1.000000
5,8,742.0,801.0,205.0,78.0,1.000000
5,9,820.0,844.0,214.0,74.0,1.000000
5,10,634.0,839.0,112.0,203.0,1.000000
6,1,662.0,340.0,211.0,101.0,1.000000
6,2,570.0,487.0,122.0,188.0,1.000000
6,3,870.0,430.0,119.0,222.0,1.000000
6,4,1063.0,608.0,214.0,112.0,1.000000
6,5,640.0,656.0,220.0,105.0,1.000000
6,6,819.0,673.0,163.0,100.0,1.000000
6,7,1028.0,671.0,93.0,220.0,1.000000
6,8,740.0,799.0,205.0,78.0,1.000000
6,9,840.0,841.0,214.0,74.0,1.000000
6,10,631.0,837.0,112.0,203.0,1.000000
7,1,659.0,337.0,191.0,110.0,1.000000
7,2,570.0,486.0,122.0,188.0,1.000000
7,3,871.0,429.0,119.0,222.0,1.000000
7,4,1062.0,605.0,214.0,112.0,1.000000
7,5,643.0,662.0,220.0,105.0,1.000000
7,6,812.0,673.0,171.0,78.0,1.000000
7,7,1026.0,671.0,93.0,220.0,1.000000
7,8,739.0,799.0,205.0,78.0,1.000000
7,9,841.0,844.0,214.0,74.0,1.000000
7,10,628.0,832.0,118.0,213.0,1.000000
8,1,660.0,330.0,182.0,110.0,1.000000
8,2,569.0,488.0,122.0,188.0,1.000000
8,3,869.0,430.0,119.0,222.0,1.000000
8,4,1061.0,604.0,214.0,112.0,1.000000
8,5,640.0,664.0,220.0,105.0,1.000000
8,6,822.0,672.0,163.0,69.0,1.000000
8,7,1026.0,670.0,93.0,220.0,1.000000
8,8,734.0,796.0,215.0,82.0,1.000000
8,9,848.0,844.0,204.0,70.0,1.000000
8,10,627.0,827.0,118.0,213.0,1.000000
9,1,650.0,334.0,191.0,103.0,1.000000
9,2,569.0,483.0,122.0,188.0,1.000000
9,3,868.0,433.0,119.0,222.0,1.000000
9,4,1061.0,603.0,214.0,112.0,1.000000
9,5,665.0,669.0,188.0,90.0,1.000000
9,6,819.0,673.0,168.0,75.0,1.000000
9,7,1028.0,666.0,92.0,231.0,1.000000
9,8,734.0,794.0,215.0,82.0,1.000000
9,9,829.0,835.0,204.0,70.0,1.000000
9,10,625.0,826.0,118.0,213.0,1.000000
10,1,639.0,321.0,196.0,110.0,1.000000
10,2,566.0,483.0,122.0,188.0,1.000000
10,3,867.0,433.0,119.0,222.0,1.000000
10,4,1057.0,601.0,214.0,112.0,1.000000
10,5,661.0,669.0,188.0,90.0,1.000000
10,6,803.0,673.0,183.0,75.0,1.000000
10,7,1022.0,666.0,98.0,231.0,1.000000
10,8,736.0,796.0,205.0,78.0,1.000000
10,9,822.0,834.0,204.0,70.0,1.000000
10,10,621.0,823.0,123.0,224.0,1.000000
11,1,636.0,315.0,192.0,110.0,1.000000
11,2,573.0,479.0,122.0,188.0,1.000000
11,3,868.0,434.0,119.0,222.0,1.000000
11,4,1057.0,598.0,225.0,118.0,1.000000
11,5,658.0,669.0,188.0,90.0,1.000000
11,6,803.0,673.0,183.0,75.0,1.000000
11,7,1021.0,669.0,98.0,231.0,1.000000
11,8,736.0,796.0,205.0,78.0,1.000000
11,9,820.0,833.0,204.0,70.0,1.000000
11,10,616.0,815.0,130.0,235.0,1.000000
12,1,641.0,312.0,183.0,110.0,1.000000
